
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Summers, Chad                       19    3   15.8%      $9.53
  Castro, R.                          19    3   15.8%     $45.07
  Ritvo, Katherine                    22    3   13.6%     $12.87
  Pulgarin, Sebastian                 30    3   10.0%     $14.67
  Heard, Vaughan                      30    3   10.0%     $47.73
  Hiles, Jeff                         30    3   10.0%      $7.00
  Correas IV, Ignacio                 32    3    9.4%      $8.20
  Parra, Hernan                       34    3    8.8%     $59.60
  Clement, Miguel                     34    3    8.8%      $6.87
  Baumgardner, Bethany                39    3    7.7%     $21.60
  Lee, Garry                          39    3    7.7%      $5.13
  Nunez, Milton                       46    3    6.5%     $25.73
  Hess, Jr., Robert                   48    3    6.2%      $9.40
  Lizardi, Amparo                     61    3    4.9%     $40.40
  Gambolati, Cam                      61    3    4.9%     $15.73
  Matz, Michael                       70    3    4.3%     $29.27
  Ochoa, Ernesto                      80    3    3.8%     $12.40
  Christie, Clifton                   89    3    3.4%     $11.33
  Mongeon, Kathy                     110    3    2.7%     $12.53
  Bartkowski, Lisa                    10    2   20.0%     $12.50
  Vanden Berg, Brittany               12    2   16.7%     $12.20
  Ramos, Juan                         13    2   15.4%     $15.60
  Morrison, Michael                   14    2   14.3%     $36.60
  Luces, Eduardo                      16    2   12.5%      $5.80
  Alvarez, Lazaro                     18    2   11.1%     $14.70
  Infante, Michael                    18    2   11.1%     $51.90
  Manning, Dennis                     21    2    9.5%      $8.10
  Vazquez, Eduardo                    22    2    9.1%     $16.70
  Ciamei, Matthew                     24    2    8.3%      $5.70
  Valery, Paul                        25    2    8.0%      $7.90
  Medina, Santiago                    30    2    6.7%     $12.10
  Servis, John                        33    2    6.1%     $14.60
  Agreda, Jose                        33    2    6.1%     $19.40
  Carroll, Josie                      35    2    5.7%     $17.50
  Smith, Robert                       41    2    4.9%     $11.30
  Munoz, Carlos                       43    2    4.7%     $40.70
